"Anatomical Strucures, Cell Types and Biomarkers Table for brain v1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,07/15/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID,AS/6,AS/6/LABEL,AS/6/ID,AS/7,AS/7/LABEL,AS/7/ID,AS/8,AS/8/LABEL,AS/8/ID,AS/9,AS/9/LABEL,AS/9/ID,AS/10,AS/10/LABEL,AS/10/ID
brain,brain,UBERON:0000955,brain endothelium,brain endothelium,UBERON:0013694,,,,,,,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,ventricular system of brain,ventricular system of brain,UBERON:0005282,,,,,,,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,cerebral subcortex,cerebral subcortex,UBERON:0000454,collection of basal ganglia,collection of basal ganglia,UBERON:0010011,basal ganglion,basal ganglion,UBERON:0002420,area X of basal ganglion,area X of basal ganglion,UBERON:0035807,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,cerebellum,cerebellum,UBERON:0002037,vestibulolateralis lobe,vestibulolateralis lobe,UBERON:2000307,medial caudal lobe,medial caudal lobe,UBERON:2000388,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,cerebellum,cerebellum,UBERON:0002037,cerebellar cortex,cerebellar cortex,UBERON:0002129,cerebellar vermis,cerebellar vermis,UBERON:0004720,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,hindbrain cortical intermediate zone,hindbrain cortical intermediate zone,UBERON:0034994,,,,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,brain white matter,brain white matter,UBERON:0003544,,,,,,,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,cerebral subcortex,cerebral subcortex,UBERON:0000454,collection of basal ganglia,collection of basal ganglia,UBERON:0010011,basal ganglion,basal ganglion,UBERON:0002420,globus pallidus,globus pallidus,UBERON:0001875,ventral pallidum,ventral pallidum,UBERON:0002778,substantia innominata,substantia innominata,UBERON:0003017,basal nucleus of telencephalon,basal nucleus of telencephalon,UBERON:0010010,,,,,,
brain,brain,UBERON:0000955,forebrain-midbrain boundary,forebrain-midbrain boundary,UBERON:0005075,,,,,,,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,ventricular system of brain,ventricular system of brain,UBERON:0005282,brain ventricle,brain ventricle,UBERON:0004086,choroid plexus,choroid plexus,UBERON:0001886,choroid plexus epithelium,choroid plexus epithelium,UBERON:0003911,,,,,,,,,,,,,,,
