"Anatomical Strucures, Cell Types and Biomarkers Table for kidney v1.0",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,
Date:,07/15/2021,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID,AS/6,AS/6/LABEL,AS/6/ID,AS/7,AS/7/LABEL,AS/7/ID,AS/8,AS/8/LABEL,AS/8/ID
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal corpuscle,renal corpuscle,UBERON:0001229,renal glomerulus,renal glomerulus,UBERON:0000074,renal glomerulus vasculature,renal glomerulus vasculature,UBERON:0004190,glomerular capillary,glomerular capillary,UBERON:0004212,glomerular capillary endothelium,glomerular capillary endothelium,UBERON:0004294
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal corpuscle,renal corpuscle,UBERON:0001229,glomerular capsule,glomerular capsule,UBERON:0001230,glomerular tuft,glomerular tuft,UBERON:0005749,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,outer medulla of kidney,outer medulla of kidney,UBERON:0001293,outer renal medulla loop of Henle,outer renal medulla loop of Henle,UBERON:0034996,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,kidney vasculature,kidney vasculature,UBERON:0006544,kidney blood vessel,kidney blood vessel,UBERON:0003517,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,nephrogenic zone,nephrogenic zone,UBERON:0009871,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal pelvis,renal pelvis,UBERON:0001224,renal papilla,renal papilla,UBERON:0001228,,,,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal corpuscle,renal corpuscle,UBERON:0001229,renal glomerulus,renal glomerulus,UBERON:0000074,renal glomerulus vasculature,renal glomerulus vasculature,UBERON:0004190,glomerular mesangium,glomerular mesangium,UBERON:0002320,,,
kidney,kidney,UBERON:0002113,kidney interstitium,kidney interstitium,UBERON:0005215,mesangium,mesangium,UBERON:0002319,extraglomerular mesangium,extraglomerular mesangium,UBERON:0002321,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,uriniferous tubule,uriniferous tubule,UBERON:0007684,collecting duct of renal tubule,collecting duct of renal tubule,UBERON:0001232,renal medulla collecting duct,renal medulla collecting duct,UBERON:0005185,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal medulla,renal medulla,UBERON:0000362,outer medulla of kidney,outer medulla of kidney,UBERON:0001293,kidney outer medulla inner stripe,kidney outer medulla inner stripe,UBERON:0004201,,,,,,,,,,,,
kidney,kidney,UBERON:0002113,renal parenchyma,renal parenchyma,UBERON:0008987,cortex of kidney,cortex of kidney,UBERON:0001225,renal corpuscle,renal corpuscle,UBERON:0001229,renal afferent arteriole,renal afferent arteriole,UBERON:0004639,,,,,,,,,
