"Anatomical Strucures, Cell Types and Biomarkers Table for large intestine v1.0",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Author Name(s):,,,,,,,,,,,,,,
Author ORCID(s):,,,,,,,,,,,,,,
Reviewer(s):,,,,,,,,,,,,,,
General Publication(s):,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,
Date:,07/15/2021,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID
large intestine,large intestine,UBERON:0000059,rectum,rectum,UBERON:0001052,rectum smooth muscle tissue,rectum smooth muscle tissue,UBERON:0018112,,,,,,
large intestine,large intestine,UBERON:0000059,colon,colon,UBERON:0001155,,,,,,,,,
large intestine,large intestine,UBERON:0000059,caecum,caecum,UBERON:0001153,vermiform appendix,vermiform appendix,UBERON:0001154,appendix lymphoid tissue,appendix lymphoid tissue,UBERON:0013689,,,
large intestine,large intestine,UBERON:0000059,rectum,rectum,UBERON:0001052,transverse folds of rectum,transverse folds of rectum,UBERON:0017626,,,,,,
large intestine,large intestine,UBERON:0000059,anal canal,anal canal,UBERON:0000159,mucosa of anal canal,mucosa of anal canal,UBERON:0003342,,,,,,
large intestine,large intestine,UBERON:0000059,caecum,caecum,UBERON:0001153,caecum dorsal mesentery,caecum dorsal mesentery,UBERON:0005686,,,,,,
large intestine,large intestine,UBERON:0000059,wall of large intestine,wall of large intestine,UBERON:0001169,muscle layer of large intestine,muscle layer of large intestine,UBERON:0011198,taenia coli,taenia coli,UBERON:0012419,,,
large intestine,large intestine,UBERON:0000059,rectum,rectum,UBERON:0001052,mucosa of rectum,mucosa of rectum,UBERON:0003346,muscularis mucosae of rectum,muscularis mucosae of rectum,UBERON:0012497,,,
large intestine,large intestine,UBERON:0000059,caecum,caecum,UBERON:0001153,vermiform appendix,vermiform appendix,UBERON:0001154,mucosa of appendix,mucosa of appendix,UBERON:0004989,epithelium of appendix,epithelium of appendix,UBERON:0009697
large intestine,large intestine,UBERON:0000059,large intestine Peyer's patch,large intestine Peyer's patch,UBERON:0003453,,,,,,,,,
large intestine,large intestine,UBERON:0000059,colon,colon,UBERON:0001155,left colon,left colon,UBERON:0008971,,,,,,
large intestine,large intestine,UBERON:0000059,anal canal,anal canal,UBERON:0000159,muscle layer of anal canal,muscle layer of anal canal,UBERON:0012490,,,,,,
large intestine,large intestine,UBERON:0000059,rectum,rectum,UBERON:0001052,rectal salt gland,rectal salt gland,UBERON:0004757,,,,,,
large intestine,large intestine,UBERON:0000059,anal canal,anal canal,UBERON:0000159,anal sinus,anal sinus,UBERON:0035243,,,,,,
large intestine,large intestine,UBERON:0000059,wall of large intestine,wall of large intestine,UBERON:0001169,muscle layer of large intestine,muscle layer of large intestine,UBERON:0011198,,,,,,
large intestine,large intestine,UBERON:0000059,caecum,caecum,UBERON:0001153,vermiform appendix,vermiform appendix,UBERON:0001154,mucosa of appendix,mucosa of appendix,UBERON:0004989,crypt of Lieberkuhn of appendix,crypt of Lieberkuhn of appendix,UBERON:0013486
large intestine,large intestine,UBERON:0000059,colon,colon,UBERON:0001155,colonic mucosa,colonic mucosa,UBERON:0000317,crypt of Lieberkuhn of colon,crypt of Lieberkuhn of colon,UBERON:0013485,,,
large intestine,large intestine,UBERON:0000059,wall of large intestine,wall of large intestine,UBERON:0001169,mucosa of large intestine,mucosa of large intestine,UBERON:0001207,epithelium of large intestine,epithelium of large intestine,UBERON:0001278,,,
large intestine,large intestine,UBERON:0000059,colon,colon,UBERON:0001155,colic flexure,colic flexure,UBERON:0022275,,,,,,
large intestine,large intestine,UBERON:0000059,anal canal,anal canal,UBERON:0000159,gland of anal canal,gland of anal canal,UBERON:0004760,,,,,,
large intestine,large intestine,UBERON:0000059,colon,colon,UBERON:0001155,colonic mucosa,colonic mucosa,UBERON:0000317,muscularis mucosae of colon,muscularis mucosae of colon,UBERON:0007178,,,
large intestine,large intestine,UBERON:0000059,colon,colon,UBERON:0001155,colonic mucosa,colonic mucosa,UBERON:0000317,lamina propria of mucosa of colon,lamina propria of mucosa of colon,UBERON:0007177,,,
large intestine,large intestine,UBERON:0000059,caecum,caecum,UBERON:0001153,vermiform appendix,vermiform appendix,UBERON:0001154,mucosa of appendix,mucosa of appendix,UBERON:0004989,,,
large intestine,large intestine,UBERON:0000059,caecum,caecum,UBERON:0001153,vermiform appendix,vermiform appendix,UBERON:0001154,serosa of appendix,serosa of appendix,UBERON:0012498,,,
large intestine,large intestine,UBERON:0000059,wall of large intestine,wall of large intestine,UBERON:0001169,submucosa of large intestine,submucosa of large intestine,UBERON:0001208,,,,,,
large intestine,large intestine,UBERON:0000059,wall of large intestine,wall of large intestine,UBERON:0001169,serosa of large intestine,serosa of large intestine,UBERON:0001209,,,,,,
large intestine,large intestine,UBERON:0000059,wall of large intestine,wall of large intestine,UBERON:0001169,mucosa of large intestine,mucosa of large intestine,UBERON:0001207,muscularis mucosae of large intestine,muscularis mucosae of large intestine,UBERON:0001239,,,
large intestine,large intestine,UBERON:0000059,anal canal,anal canal,UBERON:0000159,anal canal epithelium,anal canal epithelium,UBERON:0015716,,,,,,
large intestine,large intestine,UBERON:0000059,anal canal,anal canal,UBERON:0000159,anal column,anal column,UBERON:0009882,,,,,,
large intestine,large intestine,UBERON:0000059,anal canal,anal canal,UBERON:0000159,inferior rectal artery,inferior rectal artery,UBERON:0001357,,,,,,
large intestine,large intestine,UBERON:0000059,wall of large intestine,wall of large intestine,UBERON:0001169,,,,,,,,,
large intestine,large intestine,UBERON:0000059,wall of large intestine,wall of large intestine,UBERON:0001169,mucosa of large intestine,mucosa of large intestine,UBERON:0001207,,,,,,
large intestine,large intestine,UBERON:0000059,wall of large intestine,wall of large intestine,UBERON:0001169,mucosa of large intestine,mucosa of large intestine,UBERON:0001207,crypt of Lieberkuhn of large intestine,crypt of Lieberkuhn of large intestine,UBERON:0001984,,,
large intestine,large intestine,UBERON:0000059,wall of large intestine,wall of large intestine,UBERON:0001169,mucosa of large intestine,mucosa of large intestine,UBERON:0001207,lamina propria of large intestine,lamina propria of large intestine,UBERON:0011189,,,
large intestine,large intestine,UBERON:0000059,caecum,caecum,UBERON:0001153,cecum mucosa,cecum mucosa,UBERON:0000314,cecal tonsil,cecal tonsil,UBERON:0013478,,,
large intestine,large intestine,UBERON:0000059,caecum,caecum,UBERON:0001153,vermiform appendix,vermiform appendix,UBERON:0001154,submucosa of appendix,submucosa of appendix,UBERON:0004928,,,
large intestine,large intestine,UBERON:0000059,caecum,caecum,UBERON:0001153,submucosa of cecum,submucosa of cecum,UBERON:0004927,,,,,,
